Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Technical Data Quality,Price,Daily Return,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Trend State,RSI State,Stochastic State,Drawdown State,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Score,Technical Grade,Technical State,Technical Failed Reason,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,130036170752.0,80.41,A-,100.0,20.5,28.91,16.5,14.5,1,,12.1026745,3.7082334,5.0466166,7.433,0.0677955604276697,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,3.0,Yearly,0.151,0.114,0.15807,8815875072.0,12627999744.0,0.2727272727272727,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,OK,,15.807,9.0,4.0,3.5,7.0,1.5,OK,123.41000366210938,-0.007878412511839072,112.37350036621093,109.76278366088867,0.09821268590843824,0.12433376364965087,51.99407047474004,31.839416661561412,26.584915918627022,False,False,0.19151074533672396,0.2495529970940369,135.0089504972229,-0.08591242871228844,21490000.0,8428110.0,2.549800607728186,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,30.0,18.0,15.0,10.0,6.0,87.78,A,STRONG_UPTREND,,26
2,APA,APA Corporation,Energy,Oil & Gas E&P,15720271872.0,78.87,B+,99.8,29.79,27.58,8.0,13.5,1,,10.218629,2.241035,1.8339094,3.511,0.1365593400342943,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,3.0,Yearly,0.092,0.263,0.48854,2146749952.0,4528000000.0,0.6842105263157895,0.8421052631578947,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,OK,,48.854,0.0,6.0,2.0,6.0,1.5,OK,44.869998931884766,-0.012978446204795713,39.94667747497559,34.18482995986938,0.12324733289754497,0.3125704876858837,57.43999032961306,48.804791624080615,57.46649315769108,False,False,0.36802328421395414,0.19517222564025438,47.439998626708984,-0.05417368822134183,11917500.0,5518790.0,2.159440746975333,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,30.0,18.0,15.0,7.0,6.0,84.44,B+,STRONG_UPTREND,,49
3,INCY,Incyte Corporation,Healthcare,Biotechnology,25400053760.0,78.64,B+,99.6,20.21,27.63,16.3,14.5,1,,14.102783,3.9695258,4.3646226,10.762,0.0464827589404283,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,3.0,Yearly,0.377,0.377,0.00603,1180664576.0,1979703040.0,0.4545454545454545,0.6271186440677966,0.3833333333333333,0.711864406779661,0.6333333333333333,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,OK,,0.603,6.3,6.0,4.0,7.0,1.5,OK,125.30999755859375,-0.018100651451757988,122.30459991455078,105.63925003051757,0.024573054865824506,0.1862068078142698,52.52957675212575,53.240249130568394,59.05616086994883,False,False,0.27580936674006584,0.3481441815255868,132.60000610351562,-0.05497743747636674,3698700.0,1399590.0,2.6427025057338223,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,30.0,20.0,15.0,7.0,6.0,86.67,A,STRONG_UPTREND,,36
4,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,63171502080.0,78.59,B+,99.4,29.7,20.9,13.5,14.5,1,,9.049241,2.0019872,0.9006872,3.911,0.2399598676758265,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,3.0,Yearly,0.118,0.612,0.22261,15158625280.0,12469000192.0,0.5714285714285714,0.890625,0.953125,1.0,1.0,0.9365079365079364,0.84375,0.3125,0.359375,OK,,22.261,4.5,6.0,3.0,7.0,1.5,OK,249.8300018310547,-0.009436599736158069,257.3977685546875,221.80437240600585,-0.029401058004995706,0.12635291685661088,42.12360590267806,10.980190559009054,16.894151682977775,False,False,0.134284728355762,0.23580797463420589,276.07103450236866,-0.09505174173239395,3796100.0,1622615.0,2.3394951975668903,UPTREND,BEARISH,OVERSOLD,NORMAL,22.0,16.0,12.0,7.0,6.0,70.0,B,UPTREND,,180
5,FSLR,"First Solar, Inc.",Technology,Solar,21059780608.0,78.47,B+,99.2,31.71,18.26,14.0,14.5,1,,8.428706,2.0405912,3.9158614,8.184,0.0759117499729653,0.18509,0.08619001,0.42641997,0.32465,0.258374947984624,3.0,Yearly,-0.037,0.233,0.0187999999999999,1598684800.0,2155742976.0,0.9324324324324323,0.9487179487179488,0.6455696202531646,0.9615384615384616,0.8607594936708861,0.3333333333333333,0.4936708860759494,0.8607594936708861,0.8607594936708861,OK,,1.88,9.0,5.0,0.0,7.0,1.5,OK,195.9600067138672,-0.025850053954943664,214.09620056152343,228.10435111999513,-0.08471048902357592,-0.14091947062078747,41.11936722663284,20.772680294565156,21.099889013817474,False,False,-0.23958091799997017,-0.018482280467939316,320.95001220703125,-0.38943760940734384,2760900.0,2026885.0,1.362139440570136,STRONG_DOWNTREND,BEARISH,BEARISH,DEEP_DRAWDOWN,0.0,3.0,12.0,7.0,6.0,31.11,F,STRONG_DOWNTREND,,437
6,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,25937790976.0,77.42,B+,99.01,22.6,21.32,19.0,14.5,2,,18.712864,1.5550668,1.8588068,5.709,0.1150782273926826,0.21484,0.06409,0.37202,0.23843001,0.2438798815724228,3.0,Yearly,0.316,0.855,0.05255,2984875008.0,3416999936.0,0.6984126984126984,0.15625,0.765625,0.945945945945946,0.75,0.746031746031746,0.796875,0.59375,0.53125,OK,,5.255,9.0,6.0,4.0,7.0,1.5,OK,169.0,-0.005297197932995323,174.53359954833985,166.46630859375,-0.03170506746357016,0.015220445672483152,41.9716818945324,20.31457483401328,31.97904167666586,False,False,-0.0016086999241893274,0.0827899057430983,194.80999755859375,-0.13248805442251899,2356200.0,591790.0,3.9814799168624004,UPTREND,BEARISH,BEARISH,CORRECTION,22.0,9.0,12.0,7.0,6.0,62.22,C+,UPTREND,,251
7,ADBE,Adobe Inc.,Technology,Software - Application,98945695744.0,77.24,B+,98.81,26.79,24.65,13.3,12.5,2,,8.994958,8.358068,3.81,10.194,0.0922715777310973,0.61902,0.19731002,0.34822,0.28048,0.1052233993251612,3.0,Yearly,0.129,0.105,0.5748,9129875456.0,10805999616.0,0.4594594594594595,0.9102564102564102,0.6708860759493671,0.9102564102564102,0.9367088607594936,0.8133333333333334,0.8734177215189873,0.759493670886076,0.7721518987341772,OK,,57.48,6.3,4.0,3.0,5.0,1.5,OK,248.9199981689453,-0.014841492963848402,256.058798828125,264.98815002441404,-0.027879536621475354,-0.06063724681269078,42.424309711654004,13.9758639475595,17.326801582132727,False,False,0.2754662507586001,0.011911023254408848,370.8599853515625,-0.3288033004343196,10194800.0,5488690.0,1.8574195299789202,STRONG_DOWNTREND,BEARISH,OVERSOLD,DEEP_DRAWDOWN,0.0,16.0,12.0,7.0,6.0,45.56,C,STRONG_DOWNTREND,,336
8,EIX,Edison International,Utilities,Utilities - Regulated Electric,21284061184.0,76.94,B+,98.61,33.58,27.16,8.7,7.5,1,,8.505436,1.219921,1.0958173,7.416,0.0038702670175522,0.19734,0.04092,0.26899,0.19281,0.0390477611131692,3.0,Yearly,-0.041,0.551,2.28042,82375000.0,6391000064.0,0.967741935483871,0.935483870967742,0.935483870967742,1.0,0.935483870967742,0.935483870967742,0.967741935483871,0.7741935483870968,0.9032258064516128,OK,,228.042,2.7,6.0,0.0,0.0,1.5,OK,55.310001373291016,-0.003423398679441192,69.17300048828125,67.36967195510864,-0.20041055060693502,-0.17900741137426812,34.39870732435706,37.6675833531909,20.319019981111275,False,False,-0.22149694471383352,-0.2120965626133694,81.62000274658203,-0.3223474698350557,9135000.0,7300510.0,1.251282444651127,DOWNTREND,BEARISH,BULLISH,DEEP_DRAWDOWN,10.0,0.0,10.0,10.0,6.0,40.0,D,DOWNTREND,,387
9,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,130102091776.0,76.5,B+,98.41,18.07,28.72,15.65,14.06,1,,13.5680275,-11.802334,4.6068516,12.472,0.0593831743558883,,0.2038,0.34412,0.25527,0.1634869878187224,3.0,Yearly,0.081,1.3,,7725875200.0,9859000320.0,,0.6,0.109090909090909,0.4727272727272727,0.6666666666666666,,0.9636363636363636,0.9454545454545454,0.9454545454545454,PARTIAL,,,7.65,6.0,2.0,0.0,1.5,OK,167.89999389648438,-0.015364827060350361,192.56232421875,184.09210327148438,-0.12807453598373342,-0.08795656677962538,27.576912545539557,2.7330935103937004,4.263493057224782,False,False,-0.020226608392816425,-0.017715499687464886,222.95452043350036,-0.24693164520715272,18442600.0,7061730.0,2.6116263295254845,DOWNTREND,OVERSOLD,OVERSOLD,MAJOR_DRAWDOWN,10.0,6.0,8.0,7.0,6.0,41.11,D,OVERSOLD,,377
10,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,26117558272.0,76.39,B+,98.21,28.0,26.24,9.65,12.5,1,,7.93311,0.8953308,6.373861,12.116,0.0102241177838693,0.09849,0.04818,0.70182997,0.67496,0.1549005493277442,3.0,Yearly,0.057,-0.414,0.60277,267028992.0,2638275072.0,0.9642857142857144,1.0,0.6774193548387096,0.967741935483871,0.0967741935483871,0.7142857142857143,0.8709677419354839,1.0,1.0,OK,,60.277,7.65,0.0,2.0,5.0,1.5,OK,23.719999313354492,-0.01617591402422547,25.558631858825684,26.656825675964356,-0.07193783124335318,-0.11017164602827823,27.43073905908676,0.0,5.396337877922559,False,False,-0.08016324959535603,-0.12153295228622962,30.842624484196257,-0.2309344710431952,19482900.0,10248360.0,1.9010749036919077,STRONG_DOWNTREND,OVERSOLD,OVERSOLD,MAJOR_DRAWDOWN,0.0,6.0,8.0,7.0,6.0,30.0,F,OVERSOLD,,446
